n_accepted,coverage,selective_risk,threshold_confidence
201,0.175699,0.189055,0.8
202,0.176573,0.188119,0.8
203,0.177448,0.187192,0.8
204,0.178322,0.186275,0.8
205,0.179196,0.185366,0.8
206,0.18007,0.184466,0.8
207,0.180944,0.188406,0.8
208,0.181818,0.192308,0.8
209,0.182692,0.196172,0.8
210,0.183566,0.2,0.8
211,0.184441,0.199052,0.8
212,0.185315,0.198113,0.8
213,0.186189,0.197183,0.8
214,0.187063,0.200935,0.8
215,0.187937,0.2,0.8
216,0.188811,0.199074,0.8
217,0.189685,0.198157,0.8
218,0.190559,0.197248,0.8
219,0.191434,0.196347,0.78
220,0.192308,0.195455,0.78
221,0.193182,0.19457,0.78
222,0.194056,0.193694,0.78
223,0.19493,0.192825,0.78
224,0.195804,0.196429,0.78
225,0.196678,0.195556,0.78
226,0.197552,0.199115,0.78
227,0.198427,0.198238,0.78
228,0.199301,0.201754,0.78
229,0.200175,0.20524,0.78
230,0.201049,0.208696,0.78
231,0.201923,0.212121,0.78
232,0.202797,0.211207,0.78
233,0.203671,0.214592,0.78
234,0.204545,0.213675,0.78
235,0.20542,0.217021,0.78
236,0.206294,0.216102,0.78
237,0.207168,0.219409,0.78
238,0.208042,0.218487,0.78
239,0.208916,0.217573,0.78
240,0.20979,0.216667,0.78
241,0.210664,0.215768,0.78
242,0.211538,0.214876,0.78
243,0.212413,0.218107,0.78
244,0.213287,0.217213,0.78
245,0.214161,0.216327,0.78
246,0.215035,0.215447,0.78
247,0.215909,0.218623,0.78
248,0.216783,0.221774,0.78
249,0.217657,0.220884,0.78
250,0.218531,0.224,0.78
251,0.219406,0.223108,0.78
252,0.22028,0.222222,0.78
253,0.221154,0.221344,0.78
254,0.222028,0.220472,0.78
255,0.222902,0.223529,0.78
256,0.223776,0.222656,0.78
257,0.22465,0.22179,0.78
258,0.225524,0.224806,0.78
259,0.226399,0.223938,0.78
260,0.227273,0.223077,0.78
261,0.228147,0.222222,0.78
262,0.229021,0.221374,0.78
263,0.229895,0.220532,0.78
264,0.230769,0.223485,0.75
265,0.231643,0.226415,0.75
266,0.232517,0.225564,0.75
267,0.233392,0.224719,0.75
268,0.234266,0.227612,0.75
269,0.23514,0.230483,0.75
270,0.236014,0.22963,0.75
271,0.236888,0.228782,0.75
272,0.237762,0.227941,0.75
273,0.238636,0.230769,0.75
274,0.23951,0.229927,0.75
275,0.240385,0.229091,0.75
276,0.241259,0.228261,0.75
277,0.242133,0.227437,0.75
278,0.243007,0.226619,0.75
279,0.243881,0.225806,0.75
280,0.244755,0.225,0.75
281,0.245629,0.224199,0.75
282,0.246503,0.223404,0.75
283,0.247378,0.226148,0.75
284,0.248252,0.228873,0.75
285,0.249126,0.22807,0.75
286,0.25,0.230769,0.75
287,0.250874,0.233449,0.75
288,0.251748,0.236111,0.75
289,0.252622,0.235294,0.75
290,0.253497,0.237931,0.75
291,0.254371,0.237113,0.75
292,0.255245,0.236301,0.75
293,0.256119,0.235495,0.75
294,0.256993,0.238095,0.75
295,0.257867,0.237288,0.75
296,0.258741,0.236486,0.75
297,0.259615,0.23569,0.75
298,0.26049,0.238255,0.75
