country_code,country,n,Correct,Yes when No,No when Yes,Abstain,Other,Correct_pct,Yes when No_pct,No when Yes_pct,Abstain_pct,Other_pct
FI,Finland,143,85,14,4,37,3,59.4,9.8,2.8,25.9,2.1
SE,Sweden,143,79,11,7,42,4,55.2,7.7,4.9,29.4,2.8
BE,Belgium,143,66,6,2,63,6,46.2,4.2,1.4,44.1,4.2
ME,Montenegro,143,57,13,10,58,5,39.9,9.1,7.0,40.6,3.5
HR,Croatia,143,51,6,5,66,15,35.7,4.2,3.5,46.2,10.5
BG,Bulgaria,143,44,10,4,80,5,30.8,7.0,2.8,55.9,3.5
MK,North Macedonia,143,38,22,7,69,7,26.6,15.4,4.9,48.3,4.9
BA,Bosnia & Herz.,143,32,10,3,88,10,22.4,7.0,2.1,61.5,7.0
ALL,held-out eight,1144,452,92,42,503,55,39.5,8.0,3.7,44.0,4.8
