gold_class,bin_lo,bin_hi,n,observed_accuracy,mean_confidence,gap
yes,0.6,0.7,87,0.6667,0.6549,0.0117
yes,0.7,0.8,110,0.8818,0.7377,0.1441
yes,0.8,0.9,65,0.9846,0.8337,0.1509
yes,0.9,1.0,77,0.987,0.9418,0.0452
no,0.6,0.7,94,0.734,0.6552,0.0788
no,0.7,0.8,65,0.3077,0.7314,-0.4237
no,0.8,0.9,22,0.0455,0.8282,-0.7827
no,0.9,1.0,3,0.0,0.95,-0.95

ece_yes_gold,0.089
ece_no_gold,0.299
ece_aggregate_all_scoreable,0.0632
